employee_code,work_year,experience_cate,employment_cate,category,job_title,salary_in_usd,remote_ratio,company_cate,company_loc,employee_loc,work_for_home
70c3e4d5,2021,mid-level,full_time,Data Scientist,Data Scientist,40038,100,large,Chile,Chile,Yes
51375424,2021,mid-level,full_time,Business Intelligence,BI Data Analyst,36259,50,large,United States,Hungary,No
54fce971,2020,mid-level,full_time,Data Scientist,Data Scientist,35735,50,large,Hungary,Hungary,Yes
0e966ad1,2021,mid-level,full_time,AI,ML Engineer,77364,50,small,Japan,Japan,Yes
36ca939c,2022,senior-level,full_time,AI,Lead Machine Learning Engineer,95386,50,large,India,India,Yes
476b961f,2021,mid-level,full_time,AI,ML Engineer,63711,50,small,Japan,Japan,Yes
9d10fdb1,2021,senior-level,full_time,Data Managers,Data Science Manager,94665,50,large,India,India,Yes
2f661976,2022,entry-level,full_time,Data Scientist,Data Scientist,17684,100,medium,Hungary,Hungary,Yes
3134c94e,2022,executive-level,full_time,Data Managers,Head of Machine Learning,76309,50,large,India,India,Yes
af710b92,2022,entry-level,full_time,AI,Research Engineer,41809,50,large,Japan,Japan,Yes
e1cacc81,2023,mid-level,full_time,Data Managers,Head of Data Science,60805,50,large,India,India,Yes
2b713236,2023,entry-level,full_time,AI,AI Programmer,60207,0,small,India,India,Yes
67ad434f,2021,senior-level,full_time,AI,Machine Learning Engineer,66265,0,large,India,India,Yes
7161e528,2022,senior-level,full_time,Data Scientist,Lead Data Scientist,56723,0,large,India,India,Yes
ffd68908,2020,entry-level,full_time,Data Engineer,Data Engineer,41689,100,small,Japan,Japan,Yes
3a3ed895,2022,mid-level,full_time,Data Scientist,Data Scientist,53416,100,large,Indonesia,India,No
2b485841,2023,entry-level,full_time,AI,Applied Machine Learning Scientist,48644,100,large,Germany,India,No
534c676b,2021,senior-level,full_time,Data Scientist,Data Scientist,54094,100,large,India,India,Yes
d4281522,2021,senior-level,full_time,Data Managers,Data Science Manager,54094,50,large,United States,India,No
1f517211,2023,senior-level,full_time,Data Managers,Data Science Manager,43779,100,large,India,India,Yes
595df733,2024,mid-level,full_time,Data Analyst,Lead Data Analyst,39615,50,large,India,India,Yes
43a5108c,2023,mid-level,full_time,Data Managers,Data Science Manager,38915,50,large,India,India,Yes
41b55b26,2023,mid-level,full_time,Data Analyst,Data Analytics Manager,38915,50,medium,India,India,Yes
96d04cc2,2023,senior-level,full_time,Data Analyst,Data Integration Specialist,36483,50,large,India,India,Yes
